في	in/ within	fī
جدران	plural of جِدَار (jidār)	judrān
إضغط
فرعون	Pharaoh (as a title/ especially referring to the Quranic/Biblical…	firʕawn
العضلات	plural of عَضَلَة (ʕaḍala)	ʕaḍalāt
الاحترام	verbal noun of اِحْتَرَمَ (iḥtarama/ “to respect”) (form VIII)	iḥtirām
التدابير
السويتش
وفعاليات
أيوب	Job (prophet)	ʔayyūb
المعاني		maʕānī
اتخذ	to take	ittaḵaḏa
الانتفاضة
منازلهم
للإنسان	human	ʔinsān
سرعان	How quickly! in a short time	surʕāna
للعودة	verbal noun of عَادَ (ʕāda) (form I)	ʕawda
اليكم
المعلوماتية
سمح	to allow/ to permit (لِ (li) someone) (بِ (bi) something / أَن…	samaḥa
والسلامة	verbal noun of سَلِمَ (salima) (form I)	salāma
الطابق
وقضايا	plural of قَضِيَّة (qaḍiyya)	qaḍāyā
ترتبط
المؤقتة
المرشد
اسلحة
الكاميرون	Cameroon (a country in Africa)	al-kāmīrūn
اطراف
مفاتيح	plural of مِفْتَاح (miftāḥ)	mafātīḥ
للفوز	verbal noun of فَازَ (fāza) (form I)	fawz
والأسرة	family	ʔusra
التفاهم	reach an understanding	tafāhama
تلبيس	verbal noun of لَبَّسَ (labbasa) (form II)	talbīs
الاحتجاجات
مستخدم	employer	mustaḵdim
الاتهام	verbal noun of اِتَّهَمَ (ittahama) (form VIII)	ittihām
أمامه
الموازين
فيرجى		yurjā
بنها
خلية	cell (all senses)	ḵaliyya
بضع	a few	biḍʕ
الكذب
لمثل	to resemble/ to look like	maṯala
مضاد	contrary/ opposed/ opposite/ antithetical/ adverse/ counter
انجليزية
السينمائية
لبدء	verbal noun of بَدَأَ (badaʔa) (form I)	badʔ
طوكيو	Tokyo (a prefecture/ the capital city of Japan)	ṭūkiyū
ومركز	place where the flag is planted in the ground	markaz or markiz
صورا
بشحن	to fill/ to load	šaḥana
العباس	a male given name/ Abbas	ʕabbās
متعلقة
الغبار
بكلمة	speech/ utterance/ statement	kalima
هيوماكس
جزائرية	feminine singular of جَزَائِرِيّ (jazāʔiriyy)	jazāʔiriyya
حقن	to keep back/ to withhold/ to retain/ to collect	ḥaqana
بلغاريا	Bulgaria (a country in Southeastern Europe)	bulḡāriyā or balḡāriyā
المكتبات
فلسطينيين
ومؤسسات	plural of مُؤَسَّسَة (muʔassasa)	muʔassasāt
العبادة	verbal noun of عَبَدَ (ʕabada) (form I)	ʕibāda
إذاعة	radio channel	ʔiḏāʕa
المسؤولون
اتهام	verbal noun of اِتَّهَمَ (ittahama) (form VIII)	ittihām
آله
الثابت	constant	ṯābit
سفارة	embassy	sifāra
شهيد	witness	šahīd
الروم	definite singular of رُوم (rūm)	ar-rūm
مطالبا
ولكنهم
متوفرة
الفقيه
طاهر	pure (substance/ creature etc)	ṭāhir
النخبة	elite/ cream/ the best part	nuḵba
سويف
وشهدت		form I
المصطفى	chosen	muṣṭafan
بغرض
فيلد
مبكرة	feminine singular of مُبَكِّر (mubakkir)	mubakkira
كس	pussy	kuss
لتنمية	verbal noun of نَمَّى (nammā) (form II)	tanmiya
المدافع
إريتريا	Eritrea (a country in Africa)	ʔirītriyā
يظل		form I
الإفراج
وستنجهاوس
التوزيع	verbal noun of وَزَّعَ (wazzaʕa) (form II)	tawzīʕ
الموحد
الاستعانة
الفهم	to understand	fahima
فضائية
وسبل	plural of سَبِيل (sabīl)	subul
الكافي
بشرط	to make a condition/ to stipulate	šaraṭa
فتنة	trial	fitna
حرق	to burn	ḥaraqa
قرعة	an act of drawing lots/ drawing straws/ toss/ lottery	qarʕa
التحدث	to speak/ to talk	taḥaddaṯa
يفرض		form I
زعماء	plural of زَعِيم (zaʕīm)	zuʕamāʔ
دراما
للتحميل	verbal noun of حَمَّلَ (ḥammala) (form II)	taḥmīl
بالتجزئة
شوقي	a male given name/ Shawqi/ meaning “desirous/ longing”/ feminine…	šawqiyy
محضر
وكأنها
عناية	verbal noun of عَنَى (ʕanā) (form I)	ʕināya
تتعامل		form VI
مانع	forbidding/ prohibitive	māniʕ
فائقة
اصابات
أرباح	plural of رِبْح (ribḥ)	ʔarbāḥ
فخامة
المطلق	passive participle of طَلَّقَ (ṭallaqa)	muṭallaq
معلومة	fact/ item of information	maʕlūma
والمرأة	definite singular of اِمْرَأَة (imraʔa)	al-marʔa
الذكور
النظم	to organize/ arrange/ put in order	naẓama
للنفط	oil/ petroleum/ naphtha	nifṭ or nafṭ
يضاف		form IV
الحظر	to fence	ḥaẓara
بثلاثة	three	ṯalāṯa
الفعلية	attic	ʕilliyya or ʕulliya
انتقلت
إسطنبول	Istanbul (a major city and province of Turkey)	ʔisṭanbūl
بولا	For non-idiomatic uses/ see وَ (wa) and لَا (lā).	wa-lā
التلوث
رأيه
السمنة
الشيخة
أميركية
الاماكن
قصور	verbal noun of قَصَرَ (qaṣara)	quṣūr
للمبتدئين
وأصيب		form IV
والجيش	verbal noun of جَاشَ (jāša)	jayš
لوزير	minister/ cabinet minister	wazīr
المنتشرة
تتناول
الأهرام
موناكو	Monaco (a city-state in Western Europe)	mūnākū
لصناعة	verbal noun of صَنَعَ (ṣanaʕa) (form I)	ṣināʕa
الأضرار
المضادة
الترشح
جسد	body	jasad
لادن	gum cistus	lādan
مسلحين
الأثرية
الكنائس
اثنان	two	iṯnān
توصلت		form V
تلاميذ	plural of تِلْمِيذ (tilmīḏ)	talāmīḏ
العقبة	that remains as a last in a row of succession	ʕuqba
وكشفت		form I
الفرات	the Euphrates	al-furāt
جانبها
أنزل	to make go down/ to get down	ʔanzala
والجغرافيا
التنظيمات
ناسفة	explosive	nāsifa
وحصل	to be educed/ to be taken forth/ to be extracted	ḥaṣala
عربيا
التوسع
الرومانية
حادة
تدريس	verbal noun of دَرَّسَ (darrasa) (form II)	tadrīs
المجلات
نأمل		form I
نسمع		form I
مطلق	passive participle of طَلَّقَ (ṭallaqa)	muṭallaq
هاي
بأمر	to order/ to command/ to bid/ to instruct	ʔamara
تاريخي	historical	tārīḵiyy
خوض
شخصي	own	šaḵṣiyy
بيتك
السفارات
الجادة	avenue/ boulevard	jādda
للقطاع	section/ sector	qiṭāʕ
وأصحاب	plural of صَاحِب (ṣāḥib)	ʔaṣḥāb
أفراح
فسوف	added to an imperfect (present) verb form to express future tense:…	sawfa
مكون	constituent/ component	mukawwin
بالخبر	to try/ to test	ḵabara
الكوادر
دراسية
بلدي	native/ indigenous	baladiyy
عصير	juice	ʕaṣīr
عاصم	protector	ʕāṣim
لمحافظة	verbal noun of حَافَظَ (ḥāfaẓa) (form III)	muḥāfaẓa
وبلغت		form I
نشرة	publication/ announcement/ edict	našra
بوتسوانا	Botswana (a country in Southern Africa)	būtsuwānā
حبة	grain	/ħab.ba/
يسيطر
فيجن	rue (Ruta gen. et spp.)	fayjan
شهدتها
الترجي
القاتل	to combat/ to battle/ to fight	qātala
اداء
النجف	Najaf (a city in Iraq)	an-najaf
الأبراج
وبكل	each one/ everyone	kull
السبعة	seven	sabʕa
إصابات	plural of إِصَابَة (ʔiṣāba)	ʔiṣābāt
المراهقة
والنائب	representative/ delegate	nāʔib
بابوا
العميق	deep	ʕamīq
بطرق	to beat/ to knock/ to ring (a bell)/ to hammer	ṭaraqa
اقول
تناسب	to be related to one another	tanāsaba
العمارة	verbal noun of عَمُرَ (ʕamura) (form I)	ʕamāra
ساحات
أخطر	elative degree of خَطِر (ḵaṭir)/ elative degree of خَطِير (ḵaṭīr):	ʔaḵṭar
اشارة
قاضي		qāḍī
هوندا
العاجلة
للمواضيع	plural of مَوْضُوع (mawḍūʕ)	mawāḍīʕ
الثلث
عنزة	goat
ألبوم	album	ʔalbūm
قضت		qaḍat
اهالي
بنهاية	end (“extreme part of something”)	nihāya
مصطفي
الفلسطينيون
يفتتح		form VIII
العجائب	plural of عَجِيبَة (ʕajība)	ʕajāʔib
مرورا
محامي		muḥāmī
فيروس	virus	fayrūs
التكنولوجية
رائدة
سهلا	indefinite singular accusative of سَهْل (sahl).	sahlan
خارجي	outer/ external/ extraneous/ foreign/ nonresident	ḵārijiyy
الغنية	feminine singular of غَنِيّ (ḡaniyy)	ḡaniyya
الإجازة	permission/ authorization	ʔijāza
ايراني
شعرت		form I
التجويد
والجامعات	plural of جَامِعَة (jāmiʕa)	jāmiʕāt
فضيحة	scandal	faḍīḥa
الإعدادية
ملاحظات	plural of مُلَاحَظَة (mulāḥaẓa)	mulāḥaẓāt
السلبي
بالبحث	to search	baḥaṯa
لأماكن	plural of مَكَان (makān)	ʔamākin
المفاهيم
تنبيه	verbal noun of نَبَّهَ (nabbaha) (form II)	tanbīh
شعارات
طلبا
المثل	to resemble/ to look like	maṯala
للبيئة	natural environment	bīʔa
ناهيك
تجرى
نسائي	female/ women's/ ladies'	nisāʔiyy
يمثلون		form I
يناقش		form III
العادات
تاريخها
وخدمة	verbal noun of خَدَمَ (ḵadama) (form I)	ḵidma
والعلاج	verbal noun of عَالَجَ (ʕālaja) (form III)	ʕilāj
عقدة	knot	ʕuqda
يجلس		form I
الشبان
فريزر
الكتل	verbal noun of تَلَّ (talla) (form I)	tall
المدونات	plural of مُدَوَّنَة (mudawwana)	mudawwanāt
ارتكاب	verbal noun of اِرْتَكَبَ (irtakaba) (form VIII)	irtikāb
ترجمات	plural of تَرْجَمَة (tarjama): translations	tarjamāt
التليفزيون
الشرع
خضر	plural of خُضْرَة (ḵuḍra)	ḵuḍar
حمادة	a surname	ḥamāda
والمشحونة
والتبريكات
الحدائق	plural of حَدِيقَة (ḥadīqa)	ḥadāʔiq
والإرشاد
نيو
يشاء		form I
منطق	logic/ dialectic	manṭiq
تبارك	to be blessed/ to be fortunate	tabāraka
تزويد	verbal noun of زَوَّدَ (zawwada) (form II)	tazwīd
الصدارة
القنصلية
التقدير	verbal noun of قَدَّرَ (qaddara) (form II)	taqdīr
والحمد	to praise/ to commend	ḥamida
تضمنت
القادسية
واسعا
البري	wild	barriyy
إجازة	permission/ authorization	ʔijāza
والقوانين	plural of قَانُون (qānūn)	qawānīn
شنودة	a male given name from Coptic	šinūda
تعتزم		form VIII
الأغلبية
صفا	to be pure/ be clear/ be serene	ṣafā
الإختبارات
تظل		form I
الصفقات
ممنوع	forbidden	mamnūʕ
الإسرائيلى
وتؤكد		form II
للمساعدة	verbal noun of سَاعَدَ (sāʕada) (form III)	musāʕada
الكأس	a glass/ especially a wine glass or arak glass	kaʔs
أوروبية	feminine singular of أُورُوبِّيّ (ʔurubbiyy/ “European”)	ʔurubbiyya
يتوفر
وقصص	narrative	qaṣaṣ
وحضر	to be present/ to attend	ḥaḍara
الأسترالي
حلو	sweet	ḥulw
تفتيش	verbal noun of فَتَّشَ (fattaša) (form II)	taftīš
الشاهد	to see (with one’s own eyes)/ to view/ to inspect/ to watch/ to…	šāhada
الأندرويد
الأعوام	plural of عَام (ʕām)	ʔaʕwām
وزوجته
الخشب
للصحافة	journalism/ news business	ṣiḥāfa or ṣaḥāfa
أجرى	to let flow/ to let happen	ʔajrā
الخفيفة	feminine singular of خَفِيف (ḵafīf)	ḵafīfa
المطعم	restaurant	maṭʕam
خطبة	verbal noun of خَطَبَ (ḵaṭaba) (form I)	ḵiṭba
الأنصاري
الظهور	verbal noun of ظَهَرَ (ẓahara) (form I)	ẓuhūr
مقعدا
الرئيسى
بالعديد
محفوظ	passive participle of حَفِظَ (ḥafiẓa)	maḥfūẓ
الملوك
عهده
خلافات
دماء	plural of دَم (dam)	dimāʔ
المنطق	logic/ dialectic	manṭiq
ترشيح	verbal noun of رَشَّحَ (raššaḥa) (form II)	taršīḥ
تستقبل		form X
كيمياء	chemistry	kīmiyāʔ
وفاء	verbal noun of وَفَى (wafā) (form I)	wafāʔ
الريح
الشعار	password/ watchword	šiʕār
باحث	to discuss	bāḥaṯa
دو
قطرات	plural of قَطْرَة (qaṭra)	qaṭarāt
الإنفاق
المبالغ	plural of مَبْلَغ (mablaḡ)	mabāliḡ
أقام	to raise/ to lift	ʔaqāma
المائدة
وترك	to leave/ to relinquish	taraka
اصل		iṣli
الأرجنتين	Argentina (a country in South America)	al-ʔarjantīn
بحالة	condition/ state	ḥāla
وول
الاخرين
تنفذ	to be executed/ to be implemented	tanaffaḏa
يقصد		form I
يسقط		form I
يملكون		form I
تسببت
إي	Used with وَ (wa) followed by a word referring to God/ to make an…	ʔī
الاشتراكية
العقاب
فرنسي	French	faransiyy
الدوليين
والعنصري
حصر	to restrain	ḥaṣara
المسئولية
النقابات
بمشروع	kosher	mašrūʕ
الأسلوب	method/ manner/ mode/ style/ technique	ʔuslūb
عاليه
تهمة	impeachment/ charge/ accusation (both the act and its content)	tuhma
متحركة
حكومته
أسفرت
مجدي		majjidī
كوادر
مجهول	unknown	majhūl
الصليب
تحقيقات
مثالا
تقطيع	verbal noun of قَطَّعَ (qaṭṭaʕa) (form II)	taqṭīʕ
طال	to be long/ last long/ stretch to a great extent	ṭāla
كامكس
بوح	verbal noun of بَاحَ (bāḥa) (form I)	bawḥ
المسرحيات
للإعلام	verbal noun of أَعْلَمَ (ʔaʕlama) (form IV)	ʔiʕlām
بالعودة	verbal noun of عَادَ (ʕāda) (form I)	ʕawda
شهرة	verbal noun of شَهَرَ (šahara) (form I)	šuhra
أنمي	anime (Animated works that originated in Japan)	ʔanimī
أحوال	plural of حَال (ḥāl)	ʔaḥwāl
استفتاء	verbal noun of اِسْتَفْتَى (istaftā) (form X)	istiftāʔ
المشروعة
سوهاج	Sohag (a city/ the capital of Sohag governorate/ Egypt).
وسبق	to precede/ to come before (something or someone)	sabaqa
التصنيفات
تحل		taḥul
نووية	feminine singular of نَوَوِيّ (nawawiyy)	nawawiyya
لعل	hopefully	laʕalla
إليكم	to you	ʔilaykum
الابن	son	ibn
يتكلم		form V
ينصح		form I
الاشارة
الأنتيل
الطعن
نافع	useful/ beneficial	nāfiʕ
الباردة
ربح	to win/ to gain/ to profit	rabiḥa
والمفاتيح	plural of مِفْتَاح (miftāḥ)	mafātīḥ
الانتهاكات
التشريعي
المتطورة
كتابات
الاعتداءات
بإصدار	verbal noun of أَصْدَرَ (ʔaṣdara) (form IV)	ʔiṣdār
تطهير	verbal noun of طَهَّرَ (ṭahhara) (form II)	taṭhīr
العائلية
يستطع		form X
مزرعة	farm	mazraʕa
تركت		form I
البعيد	far/ remote/ distant	baʕīd
ريم	excess/ redundancy/ augment	raym
مسمى
يسبق		form I
الري
تعلق	to be suspended/ to hang (بِ (bi) from)	taʕallaqa
جواد	goodness/ generous/ bountiful	jawād
للمستخدمين
وقالوا		qālū
والقوى	to strengthen/ to bolster/ to potentiate	qawwā
ويعود		form I
الطول	verbal noun of طَالَ (ṭāla) (form I)	ṭūl
المحليين
توقفت		form V
المحادثة
الكود	to love/ to like	wadda
المبادرات
المشتبه
نابلس	Nablus (a city and governorate of the West Bank/ Palestine)	nābulus
الكنيست
بليز	Belize (an English-speaking country in Central America/ formerly…	bilīz
نقدية	feminine singular of نَقْدِيّ (naqdiyy)	naqdiyya
أكل	to eat/ to consume (food)	ʔakala
الكسل	verbal noun of كَسِلَ (kasila) (form I)	kasal
العابدين
لفتح	to open (“to make something accessible”)	fataḥa
حماد
ديزاين
للاعلام
اقتصاديا
ووجه	to be a man of distinction/ to be notable	wajuha
يتابع		form III
الخرج	to move [with مِنْ (min) ‘from inside’] (somewhere) to outside/ to…	ḵaraja
تقدما
متكامل	integrated/ holistic	mutakāmil
استاد
مخرج	exit/ place of issue	maḵraj
الشديدة	misfortune/ distress/ hardship/ discomfort/ affliction	šadīda
تحتفل		form VIII
الدمار
وطريقة	manner/ mode/ means	ṭarīqa
يقوي
سول	to entice/ to tempt/ to make covet	sawwala
شهاب	brand/ blaze/ burning flame	šihāb
فنلندا	Finland (a country in Northern Europe)	finlandā
صوب	to aim/ point/ or direct (something/ such as a ranged weapon/ like…	ṣawwaba
