何	what
名答	good answer/ excellent answer/ clever or correct answer
立ち退
鉄筋	rebar (steel reinforcing bar for concrete)
定規	straightedge (instrument for drawing lines)
前部	front part/ the front
整頓	order/ arrangement/ putting in order
塩分	amount of salt/ salt (any acid base compound/ or only common salt)…
最長	the longest
廃業	permanently closing a business
アリオ
親睦	friendship/ amicability/ friendly intimacy
近し	Classical Japanese form of ちかしい (chikashii)
食人	human cannibalism/ anthropophagy
満場	the whole audience/ the entire crowd
母体	a mother's body
先物	futures contract: standardized agreement to buy or sell an asset…
ヒ素	arsenic (chemical element)
予め	in advance/ beforehand/ previously/ in anticipation
論外	irrelevant/ beside the point/ out of the question
アレクサンドル
王手	check (move threatening the king/ or announcement of this threat)
良質	high-quality
あっけな
取り外せ	to remove/ to take down
野蛮人	barbarian
余程	very much/ very many/ a great deal of
疎外	alienation
戦前	pre-war
清らか	clean
探究	research/ inquiry
縄張りだ
日月	sun and moon
線香	incense stick
ルアー
戦況	war situation
二一
撃ち合
口臭	bad breath/ halitosis
代数	clipping of 代数学 (daisūgaku/ “algebra”)
アパレル
突き動か
逃げ足
円周	circumference
親しみ	make friends
織物	textile/ fabric
目新し
敬具	yours sincerely
隣り合わせ
知力	intellect/ wit
金鉱	gold mine
投合	agreement/ matching
獄中	in jail
蛇口	a tap/ a faucet
防壁
アナログ	being analog (represented by a continuously variable physical…
尺度	a measure/ a tool to measure length
アーケード	arcade (covered passage/ usually with shops on both sides)
大田	a city in Shimane Prefecture/ Japan
名残	vestiges/ remains/ relics
言い合い	say to each other/ exchange farewells/ jokes/ opinions/ etc.
酷評	censure/ harsh criticism
裏通り	side street/ alley (narrow street)
悪運	devil's luck/ dumb luck of someone who does bad things or takes…
アプトン
曲名	song title/ name of a song
共学	co-ed
大洋	ocean
不用	unnecessary
自習	self-study/ teaching oneself (while the teacher is not present)
毎週末
無援
声帯	vocal cords
冥王	the King of the Underworld/ either Hades/Pluto in ancient…
念動
連打	repeatedly hitting something
身軽
宮入り
自負	self-confidence
本望	long-cherished ambition
組成	composition
中指	middle finger
戦績	war record/ military achievements
アルミニウム	aluminium
壊死	necrosis
菌類	fungi
餃子	gyoza: a kind of dumpling or potsticker with a thin skin/…
アス
殺しあ
機影
貴公
金欠	in want of money
帰路	the road home
一大	a great .../ one of the largest ...
実演	demonstration (showing how to use something)
浸食	corrosion/ erosion
敗戦	defeat in war or competition
近郊	suburb/ outlying area/ outskirts
若気
工房	artist's studio
ウジョア
編入	admission to a school
朝刊	morning paper (newspaper that arrives in the morning)
いたる所
西岸
デラウアー
音色	tone color/ timbre
真っ向	directly opposite/ right in front
榎木
テルアビブ	Tel Aviv (a city in Israel)
策謀	machination (clever scheme or artful plot/ usually crafted for…
猿王
地底	underground
取り消せ	annul/ nullify/ cancel/ revoke/ undo
釣り上げ
流れ星	synonym of 流星 (ryūsei/ “meteor/ shooting star/ falling star”)
乗り回
持て余
市議会	a city council/ a municipal assembly
演唱
園子	a female given name
蛋白	egg white/ albumen
沢田	a surname
中核	kernel/ core
樹立	establishment/ foundation
変えれ	to change/ to make different
腹立
生来
爪先	toetip (end of a toe)
能無し
他社	another company
安達	a district of Fukushima Prefecture
アダルト	adult/ for an adult
観れ
かき消
モアブ
第一	first/ foremost/ number one
加重
真似事	sham/ mockery
力づく
対人	being towards another person
譜面	written music/ sheet music/ music manuscript
都内	the inside of prefecture of Japan which is suffixed "都" (To)
物色	seeking out
恒久	permanence/ permanency/ perpetuity
忽然	sudden
アトロピン
舞い降り
アディオス
空席	vacant seat
残党	remnant (of a defeated group/ belligerent/ etc.)
アルウェン
石頭	a head as hard as a stone
品行	moral conduct/ behavior
血小
級友	classmate
追手
仕分け	journal
営倉
原本	The original item.
領空	airspace
成せ
白川	a surname
立会
区分	division
さしあたり
ファイアント
一起	a male given name
義輝	a male given name
星章
水位	water level
引受け
一端	one part/ a part of
両面	two sides
行き当たり	run into/ hit/ strike
あくび	欠/ 欠伸: a yawn/ yawning
演繹	deduction: extending information about one thing to apply to other…
製材	hewing
論説	a dissertation
新月	new moon
創り上げ
エアロ
分かっ
微小	tiny/ petty/ very small
眉間	glabella
きゃあ	An expression of surprise or dismay.
残り物
何せ	synonym of 何しろ (nani shiro/ “at any rate/ anyhow”)
大海	ocean
転げ落ち	fall off/ tumble down
換金	conversion into cash
飛来	arrival by flying (e.g. birds/ airplanes/ airborne pollutants or…
化物	a monster/ a ghost/ a phantom
帰投	returning to base (of an aircraft/ ship/ soldier/ etc)
バリアー
調味	adding seasoning
疾風	a gale
部活	clipping of 部活動 (bukatsudō): extracurricular activity/ school club
対談	dialogue
湿地帯
小動
还能
大空	firmament/ heavens/ sky
蜂起	rebellion/ uprising/ revolt
霊的
愛用	favorite/ what one uses habitually
風車	a windmill (structure)
江戸	Edo/ the former name of Tokyo before 1868
酌量	to mitigate a sentence or punishment
見聞き	looking and listening/ seeing and hearing
中手
細身	being slender/ thin
アスパラガス	asparagus
即応	promptness/ responsiveness/ adaptation
無欠
大藪
休眠	sleep/ dormancy
書き上げ	imperfective and stem (or continuative) forms of かきあげる (kakiageru)
子ブタ
機転	wit/ tact
アマリヤ
大きめ	slightly larger than usual
内線	phone extension
至上
食塩	table salt
奈美	a female given name
思い入れ	carefully deliberating
両太
暴挙	wild behaviour
引火	catching fire/ burning
肌身	skin/ body
原田	a surname
アンペア	ampere
アフザル
慰安	consolation/ solace
アバナシー
高給	high pay/ high salary
旅立ち	departure on a trip/journey/ setting off/ embarking
表皮	epidermis
一座	all those present/ the whole party/ everyone in attendance
課外	extracurricular
創出	creation
あわ	to meet with/ see/ meet again or for the first time
上方	The Kyoto and Osaka area in Edo period culture.
突っ立て	stand up straight
引き合い	an example for comparison
消えかけ
色素	pigment/ colouring matter
あし	足: foot
配合	combination/ mixture
持病	incurable affliction/ chronic condition
アキノ
岩盤	bedrock
陣取
スカンジナビア
死せ	to die
一段	one step/ one rank
難航	hard flight/ rough passage
高望み	high hopes
根気	patience/ persistence
戸越
寝言	sleeptalking/ somniloquy
大理
廃屋	abandoned house
筆記	notetaking/ notes
ウィドモア
不実	perfidiousness/ faithlessness/ inconstancy/ insincerity/ falsehood
初恋	first love
局所
アナトリー
帝光
早送り	fast-forward (a tape/ etc.)
定ま
ボリビア	Bolivia (a country in South America)
博覧	public exhibition
店内	the inside of a store/ instore
防具	personal protective equipment
ホイアン
旧約	clipping of 旧約聖書 (Kyūyaku Seisho/ “Old Testament”)
エアフォース
時分	time/ hour/ season/ time of the year
活	alive
ラクビアン
光り	to shine/ gleam/ glitter
アカトラ
無性	asexuality
夜会	soiree (formal evening party)
短波	shortwave
取り計ら
日食	a solar eclipse
意表	surprising/ unexpected
好戦	belligerence
足かせ	shackles/ fetters/ leg irons
アイク
念願	wish/ hope
仕事柄
愚行	folly/ foolishness
手話	sign language
面積	area
引当
尊師	respected teacher/ revered master
各所	various places
起点	beginning point/ origin
カシアン
只中	middle/ center
騒ぎ立て	to raise a hue and cry
護民官
数多く	many
習性	trait/ habit
あれっ
一網
捜し物
不幸せ	unhappy
直属	direct control/ immediate control/ direct supervision
肝門部
消臭	elimination of stenches
参政	participation in politics
乱入	intrusion/ raid
右上	top right/ upper right
語彙	vocabulary
後手	not having the initiative/ moving last in an area/ responding to…
今期	current period/ present term
レスビアン	alternative form of レズビアン (rezubian/ “lesbian”)
母音	one of the five morae of the あ行 (agyō/ “a-row”)/ that consists…
帯域	band (part of radio spectrum)
取り組み	effort/ approach/ energy
激情	passion/ a violent emotion
ブエノスアイレス	Buenos Aires (the capital of Argentina)
突発	sudden/ unexpected occurrence/ an outbreak
頑張れ	to work hard and do one's best to achieve a goal
戦犯	short for 戦争犯罪者 (“war criminal”)
大名	one who owns much land
威信	dignity/ prestige
旧知	old acquaintance
普及	diffusion
大それた	absurd/ outrageous/ ridiculous/ unthinkable
予兆	omen
あーら
下等	of low rank/ of low quality/ inferior
競り合い	to struggle/ to strive together
転嫁	imputation
仰天	being deeply surprised
送り込み	to send in (to make someone go somewhere to do something)
親善	friendship/ goodwill
扇風
茶屋	tea dealer/ someone who produces and sells tea
星之
分かち合え	to share
レノア
炭水
願書	application form
最早	now/ already/ (with negative verbs) no longer
横暴	tyrannical/ oppressive
羽田	Haneda (neighborhoods in Japan):
取り持
門番
ありゃあ
期末	end of term
アリガトウ
アンモニウム	ammonium
野宿	sleeping outside
光明	light
南下	going south
馬場園	a surname
嗅ぎ付け	sniff out (find using smell)
信徒	one who believes in a religion/ a believer
ゴア	Goa (a state in western India)
フィルモア
乳児	baby/ infant
呼びつけ
蛍火	the light of a firefly
凍り付
寝入
陽光	sunlight/ sunshine
グアム	Guam (an island and overseas territory of the United States in…
アンモニア	ammonia (the compound NH₃)
通電
難局	difficult situation / position/ jam/ strait
感嘆	admiration/ wonderment
土手	mound/ bank/ embankment
アストリア	Astoria (a city in Oregon/ United States)
磁力	magnetism/ magnetic force
アカプルコ	Acapulco (a port city in Guerrero/ Mexico)
作り物	fabricated fake item
着心地
倹約	frugal
味気
書店	bookstore/ bookshop
行き届
極小	extremely small
足掻
伊達	chivalrous/ heroic
草食	herbivore
武勇	bravery
外気	outside air
あほ
弱音	feeble complaint/ whine
気体	gas/ vapor
人差し	short for 人差し指 (hitosashi yubi/ “index finger”)
空か	become empty (not crowded/ not full)
立ち回
均等	equal/ uniform
仕送り	allowance/ remittance
手羽
来店	The act of visiting a store.
転身	personal transition or transformation/ especially of one's career/…
借り物
器材	equipment/ tools and materials
両腕
爆死	death from explosion/ bombing etc.
含有	containing/ holding
気安
理花
故殺
靴屋	shoemaker
三流	third-rate
抽選	drawing/ drawing lots/ lottery/ raffle
石棺	sarcophagus
他愛
賞味	degustation/ tasting
雇い主に
白目	white of the eye
家路	the way home/ the road home
本田	a surname
由香	a female given name
否応	yay and nay/ yes and no
国有	state ownership/ national ownership
勅命	imperial order
加盟	participation/ affiliation
ファイアーウォール	firewall
東陽
種目	event (e.g. at the Olympics)
