de	of (expresses belonging)
flou	fuzzy/ blurred/ blurry/ unclear
irlande	Ireland (a country in northwestern Europe)
crédible	credible
bd	abbreviation of boulevard
esclavage	slavery (institution or practice of owning human beings)
preniez	to take
cire	to wax (apply wax to something)
yep
coupures	the act or result of cutting/ a cut
zero
gamme	musical scale
crue	raw (uncooked/ unprocessed)
salutations	greeting
détient	third-person singular present indicative of détenir
anonymes	anonymous
écharpe	scarf
lier	to link
centime	centime (hundredth of a franc/ coin)
brune	brown (color/colour)
finiras	to finish/ end/ complete
jours-ci
noeud	nonstandard spelling of nœud
librairie	library (institution which holds books for use by the public)
humiliation	a humiliation/ active or passive
enfermés	past participle of enfermer
rigolo	funny (amusing/ comical)
banks
aveugles	blind (physically unable to see)
venise	Venice (the capital city of Veneto/ Italy)
foin	hay
respectable	respectable
bouddha	Buddha
soviétique	Soviet (citizen of the Soviet Union)
écoutent	to listen
mépris	scorn
peterson
récente	recent
absolue	absolute
bulletin	bulletin
gideon
avale	inflection of avaler:
croyons	to believe (someone)
lionel	a male given name/ equivalent to English Lionel
identiques	identical
roche	rock (large mass of stone)
culte	religion
emmène-moi
endurer	to endure/ to bear
souhaits	wish (desire/ aspiration)
intrusion	intrusion
ahh
rejeter	to throw back (a fish/ etc.)
prisonnière	prisoner
arrangera	to arrange
mentor	mentor/ guide
terrifié	to terrify
nobles	noble/ aristocratic
évier	sink/ basin
county
helena
sensibles	sensitive
daniels
similaire	similar
vivres	food supplies/ provisions
mills
communiqué	communiqué/ statement
dures	hard/ tough (difficult to penetrate)
ouvrier	worker/ labourer (manual worker)/ workman
tenant	advocate/ supporter
occupait	third-person singular imperfect indicative of occuper
onde	wave
exclu	person who is excluded
moulin	mill/ windmill
gagnera	to win
herr
tiens-moi
prendras	to take
sonia	a female given name/ equivalent to English Sonya
semblables	similar
fugitif	fugitive
chantait	to sing
douzaines	twelve/ dozen
millie
dérangerait	to bother/ to disrupt
indiqué	to connote (to signify beyond principal meaning)
décolle	to take off (i.e. a plane)
plier	to fold (bend (something) over/ arrange by folding)
raisin	grape
semblable	similar
massacrer	to massacre (to kill)
reconstruire	rebuild (to build again)
stp	please
passeports	passport (official document)
habituelle	customary/ habitual
surveillé	to monitor/ to survey/ to watch
gèle	to freeze
vicieux	lecherous/ perverted/ depraved
citer	to cite/ quote
trish
lard	bacon
sidney
ordinaires	ordinary
suffire	to be enough/ to suffice
inquiétais	to worry
brien
opposition	opposition
banquier	banker
brendan
consoler	to comfort/ console
amènes	to bring (a person)/ take/ fetch/ give a lift/ give a ride
évaluer	to assess
achèterai	to purchase/ buy
brooks
springfield
approché	to approach/ to come close to/ to move towards
frappez	to hit/ to strike/ to bash
sherry	sherry
sniper	sniper (person/ weapon)
vega
impulsion	impulse
procurer	to get/ obtain (for someone)
fanny	a female given name
marée	tide
joshua
cliché	stereotype (printing plate)
tranche	slice
valoir	to be worth
opinions	opinion (thought/ estimation)
tout-puissant	almighty/ all-powerful/ omnipotent (unlimited in might)
barbie
mack
moelle	marrow (substance inside bones)
filme	inflection of filmer:
évènements	post-1990 spelling of événement
nourris	to feed (provide with nourishment)/ nourish
traque	track (of an animal)
rush	rush (in sport)
allié	to ally
câbles	cable
never
oeuvres	nonstandard spelling of œuvre
dinozzo
shh
samouraï	samurai
arrêterai	to stop/ to come to a standstill/ to halt/ to stop from moving
asiatique	of Asia/ Asian/ Asiatic
chantent	to sing
volées	past participle of voler
rasé	past participle of raser
craque	to split/ to break
tendue	past participle of tendre
horreurs	horror (emotion)
maudits	damn/ cursed/ goddam
comble	summit/ peak (of a building)
abusé	to mislead
aborder	to deal with/ to tackle/ to approach a problem/ situation or…
inacceptable	unacceptable
courtoisie	courtesy
arabes	Arabic
écureuil	squirrel
réparation	fix/ repair
rentrent	to go back/ to re-enter
supposons	to suppose/ to think/ to reckon/ to surmise
queens
scie	saw tool
repère	marker/ (reference) mark
embaucher	to hire/ to employ
sympathie	sympathy
sacrés	sacred/ holy
sutton
atomique	atomic
fumes	to smoke
bataillon	battalion
achètes	to purchase/ buy
lesbiennes	lesbian (female homosexual)
oups	oops/ whoops
briquet	firestriker
timmy
kenneth
piégée	past participle of piéger
repars	to leave again/ to go back
japonaise	Japanese
old
ramènera	to take back/ bring back/ restore
explosif	explosive (with the capability to/ or likely to/ explode/…
esther	Esther
blog	blog
ouh	ooh/ ouch
complices	kindred/ close
maligne	nocive/ pernicious
traîtres	betrayer/ traitor
mi-temps	half time
changerait	to exchange (something)
quentin	a male given name from Latin/ recently popular
gibson
centre-ville	town centre/ city center/ downtown/ central business district (CBD)
achever	to finish/ to complete
parapluie	umbrella for rain
verrait	to see (visually)
disposer	to organize/ to arrange/ to distribute in a certain fashion
sérum	serum (all senses)
reviendront	to come back/ to return
priez	to pray
triche	to cheat
financière	financial
franchise	liberty/ freedom
suce	to suck
contrariée	past participle of contrarier
devenez	to become
nazi	Nazi
soupçonne	to suspect (have a suspicion)
portera	to carry
teint	to dye
rattrape	to get back (something which is lost)
remarques	remark (comment/ something said)
écrits	past participle of écrire
hanches	hip
béguin	Beghard/ Beguin (religious laymen living in semimonastic…
vivaient	to live
bulle	bubble
tiennes	your/ belonging to you (singular)
extraire	extract (to draw out)
jouir	to enjoy
burger	synonym of hamburger (“burger”)
chantez	to sing
cordon	cord (for connecting)
aurais-tu
brûlant	to burn
poumon	lung
tailleur	tailor
abandonnes	to give up
égouts	plural of égout
intrigue	intrigue (complicated or clandestine plot or scheme intended to…
impoli	rude/ impolite (bad-mannered)
télécommande	remote control
épargne	to save (time/ money etc.)
nie	inflection of nier:
tubes	pipe
faisions	to do
approuvé	to approve of
confiture	jam (UK)/ jelly (US)
présentes	present
pom-pom
géré	to manage
équitable	just/ equitable/ fair
spatiale	spatial
ficelles	twine
tracer	to draw or plot (a diagram)/ to trace out
saumon	salmon (fish)
jade	jade
séances	session
exercer	to instruct/ to command
hyde
inventaire	inventory (list of items)
distribuer	to distribute
dîné	to dine
inattendu	unexpected
briller	to shine/ to sparkle
affirmatif	affirmative (which affirms)
janice
verrouillé	to bolt (lock with a bolt)
convenable	appropriate/ correct/ usable
empêchera	to stop/ to prevent/ to hinder
orgueil	pride/ pridefulness/ haughtiness/ arrogance
mangeons	to eat
cigares	cigar (rolled bundle of tobacco made for smoking)
jeep	jeep
immeubles	building
artillerie	artillery
attraction	attraction (all senses)
gymnase	gymnasium (Roman hall)
mondial	global/ worldwide
trainer	post-1990 spelling of traîner
permanente	permanent
franche	Frankish/ Franconian
amendement	amendment
disparues	disappeared
garderai	to keep/ to retain/ to store/ to save
maladroit	awkward/ clumsy/ maladroit
salive	saliva
kat
simmons
allumée	lit/ on/ lit up
cuivre	copper
peigne	to paint
hughes	a surname
espérait	to hope
plombier	plumber (one who furnishes/ fits/ and repairs pipes and other…
cherchiez	to look for/ to seek
piles	heap/ stack
passionnant	to impassionate/ to motivate
baigner	to bathe
villageois	villagelike/ characteristic of a village
ralenti	to slow down
investisseurs	plural of investisseur
comprenais	to understand/ comprehend
celles-ci	this one
solides	secure/ solid/ firm/ substantial
ouvrent	to open
bulles	bubble
eleanor
soutien-gorge	bra
gonzesse	chick/ bird/ broad (woman)
song
marquis	marquess (title of nobility)
drone	drone (unmanned aircraft)
détourner	to divert/ to redirect
ugh
duchesse	duchess
choi
sirènes	mermaid/ siren
cargo	ship designed to carry a cargo
bancaire	bank/ banking
clin	Found only in the expression clin d’œil (“wink/ instant”).
fuyez	to escape
interrompu	to interrupt
triché	to cheat
batailles	battle
barré	to bar/ bar up (to lock or bolt with a bar)
limité	to mark/ to limit (to show a physical limit or boundary)
torres
vestiaire	cloakroom/ (US) checkroom/ coatroom/ coat check (a room intended…
précaution	precaution
graine	seed (fertilized grain)
disponibles	available (pour for/ à to)
emmènerai	to take off/ take away or out
participe	participle
sdi
ail	garlic
jr
associée	past participle of associer
prononcé	to pronounce
session	session/ period
contribution	contribution
chauffe	to heat/ warm/ warm up
baissez-vous	to lower
itinéraire	itinerary/ route
plongé	to dive
maniaque	maniacal/ mental
marcherait	to walk
gardons	to keep/ to retain/ to store/ to save
monty
dirigent	to run/ to direct (be the director of)
basée	past participle of baser
soumis	past participle of soumettre
millier	thousand/ a number of about a thousand
objectifs	of a material object/ objective
étrangler	to strangle
voudraient	to want/ wish/ desire
studios	studio (artist's workshop/ recording studio/ one-room apartment/ etc.)
souviendrai	first-person singular future of souvenir
distraction	distraction
exploiter	to exploit
chauds	warm/ hot
espéré	to hope
spécifique	specific/ species
libérez	to liberate/ to set free/ to release from captivity
disputes	dispute
pratiquer	to do/ to practise
fâche	to annoy/ to vex
dom	title of respect given to certain monks and other religious figures
répandre	to spill/ scatter
fondu	fade
lires	lira (unit of currency)
devise	motto
manifeste	manifest
design	design
approchent	to approach/ to come close to/ to move towards
soulève	to raise/ to lift up/ to pick up
pâté	pâté (a type of liver paste)
humilié	to humiliate
javier	a male given name from Spanish [in turn from Basque]/ variant of…
fais-lui
informe	to inform/ to enlighten/ to impart knowledge (upon)
pagaille	muddle/ mess
virage	bend/ turn/ curve
admirer	to admire
yankees
moutarde	mustard
métaphore	metaphor
bridge	bridge
bâtir	to build/ to construct
jardinier	gardener
méfier	to mistrust/ to be wary of/ to watch out for
donnie
pavillon	pavilion (tent/ structure/ ear part)
she
woo
dévoué	to sacrifice/ to devote/ to dedicate
cafétéria	cafeteria
globe	globe
éloignez-vous
pubs	Television ad or advert
débuts	start/ beginning
lente	nit
arche	arch
émotionnel	emotional
deja
passionné	passionate/ impassioned
remplit	to fill/ to fill up (make full)
tricher	to cheat
éclairer	to light up/ to brighten
é	The letter é.
déclarations	declaration (written or oral indication of a fact/ opinion/ or belief)
raccourci	shortcut (a path between two locations that is shorter than more…
chemises	shirt (that opens in the front)
module	module
fourchette	fork (for eating)
aidait	to help/ to aid
contrôles	to check or examine
restiez	to stay
mexicains	Mexican/ resident or native of Mexico
jenkins
clous	nail (metal pin)
tango	tango (dance)
contes	tale/ story
douces	sweet
consciente	feminine singular of conscient
transition	transition
ignorance	ignorance
poisse	chronic bad luck
avéré	past participle of avérer
mangeait	to eat
branches	plural of branche
cogne	to whack/ to bash/ to thump (hit hard)
irresponsable	exempt from legal responsibility/ from being held accountable/…
madrid	Madrid (the capital city of Spain)
ambitieux	ambitious
morsure	bite (act of biting)
ding
sainteté	sanctity
pigeons	pigeon
creusé	to dig
italienne	Italian (male)
sermon	sermon (religious speech)
diplômes	diploma (document issued by an educational institution testifying…
alaska	Alaska (a state of the United States/ formerly a territory)
trent
grèce	Greece (a country in Southeastern Europe)
arriverez	to arrive (often followed by a location)
intéressantes	interesting
yu
fatigués	past participle of fatiguer
révolutionnaire	of a revolution (in government)/ revolutionary
loue	to rent
avertis	past participle of avertir
prends-moi
parle-lui
hospitalité	hospitality (attitude of openness/ respect/ and generosity toward…
coût	cost/ price
melinda
faveurs	favour
références	reference
faucon	falcon
detroit	Detroit/ alternative form of Détroit
fibres	fibre
normales	normal (according to norms/ usual)
poignarder	to stab/ to knife
appuyé	to press/ push
barrer	to bar/ bar up (to lock or bolt with a bar)
traditions	tradition
rangé	to order/ to arrange
emmerdes	to bug/ bother/ irritate "the shit out of" someone
utérus	uterus/ womb
rails	rail
prévenez	to prevent/ to avert/ to guard against
vexer	to irritate/ to annoy
maitre	master
propriétés	property (something owned)
chaudes	warm/ hot
croyable	credible/ believable
laissais	to leave/ to leave behind
voleuse	robber/ thief
cerf	a stag/ a hart
marion	a female given name
